ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
2.053450;0.001735;2.018597;50.000000;2.521650;126.082489;0.001296;2.105639;0.131205;0.001657;
1.986073;0.002303;1.883015;50.000000;5.622280;281.114014;0.000458;2.160936;0.400076;0.001379;
1.821382;0.003787;1.689856;47.057606;7.377602;347.172272;0.000617;2.053354;0.551397;0.002057;
1.594388;0.004336;1.489401;50.000000;7.454433;372.721649;0.000630;1.819515;0.631589;0.002575;
1.403880;0.003905;1.302282;40.893574;6.992196;285.935883;0.000855;1.626020;0.736166;0.002039;
1.319111;0.003798;1.180299;9.833200;8.649015;85.047485;0.000706;1.580418;0.893494;0.001030;
1.314695;0.005015;1.132538;6.927494;11.359192;78.690735;0.000951;1.626621;1.004604;0.000851;
1.953127;0.001640;1.888165;50.000000;3.001670;150.083511;0.001254;2.010445;0.152026;0.001540;
1.930443;0.001611;1.798913;12.281439;5.914883;72.643272;0.000543;2.103644;0.411575;0.000669;
1.853855;0.002945;1.689105;15.303626;7.811598;119.545776;0.000453;2.100677;0.567308;0.000953;
1.673489;0.004867;1.507672;22.915474;8.833215;202.417297;0.000749;1.958635;0.705935;0.002071;
1.459190;0.005370;1.335981;42.062477;8.388062;352.822662;0.000884;1.717758;0.778023;0.002923;
1.313832;0.004326;1.234408;50.000000;6.716548;335.827423;0.001172;1.529122;0.786414;0.002522;
1.277092;0.003546;1.197271;16.526091;5.972776;98.706650;0.001212;1.499001;0.835927;0.001526;
1.295630;0.003633;1.197313;8.917721;6.684203;59.607857;0.001575;1.528313;0.849132;0.001305;
1.922778;0.005121;1.855550;50.000000;5.772248;288.612396;0.002697;2.023882;0.259576;0.004825;
1.849509;0.003192;1.711404;50.000000;6.706056;335.302795;0.001117;2.022541;0.431310;0.002258;
1.794138;0.002640;1.619434;10.596858;8.276529;87.705208;0.000672;2.019669;0.551419;0.000957;
1.738207;0.002992;1.541957;8.162847;9.980582;81.469963;0.000365;2.004697;0.647078;0.000511;
1.648386;0.004326;1.436000;8.786255;11.174224;98.179573;0.000400;1.963382;0.770218;0.000712;
1.503861;0.005312;1.306058;10.711625;10.939397;117.178726;0.000638;1.828941;0.873161;0.001331;
1.364397;0.005187;1.215002;16.793346;9.091099;152.669983;0.000847;1.648828;0.902325;0.002056;
1.274540;0.003553;1.190030;22.671902;6.449782;146.228836;0.000684;1.493011;0.827364;0.001620;
1.244270;0.002830;1.199581;17.483671;4.212796;73.655144;0.001431;1.417142;0.723933;0.001556;
1.238980;0.003689;1.213362;13.279667;2.946006;39.121975;0.002982;1.394035;0.672111;0.002645;
1.868810;0.002482;1.789281;50.000000;2.935545;146.777237;0.002375;1.917807;0.139520;0.002406;
1.887004;0.002517;1.756931;50.000000;6.170272;308.513611;0.000789;2.043863;0.388466;0.001751;
1.829185;0.003767;1.645885;30.747084;8.338585;256.387146;0.000777;2.071949;0.568425;0.001884;
1.740188;0.004274;1.534937;14.704640;9.745088;143.298004;0.000707;2.026109;0.677348;0.001535;
1.623796;0.004263;1.414974;9.763312;10.790000;105.346146;0.000525;1.925969;0.762682;0.000990;
1.499319;0.004385;1.294268;7.751193;11.535164;89.411278;0.000431;1.809499;0.852539;0.000657;
1.385886;0.004769;1.186216;7.111761;11.958128;85.043350;0.000445;1.705956;0.955450;0.000552;
1.329497;0.004820;1.138324;7.670280;11.644195;89.314224;0.000304;1.645482;0.995987;0.000652;
1.291072;0.003755;1.128256;8.553665;10.043905;85.912201;0.000072;1.567185;0.950451;0.000550;
1.234763;0.002709;1.126454;9.750368;7.074044;68.974533;0.000508;1.446134;0.844894;0.000753;
1.734052;0.004797;1.628065;1.868197;9.228631;17.240898;0.004607;1.846852;0.331913;0.004369;
1.871130;0.002626;1.739504;3.716671;7.888014;29.317152;0.002189;2.009930;0.357567;0.002016;
1.878933;0.002446;1.690419;9.095036;8.644236;78.619629;0.000774;2.095787;0.507673;0.000938;
1.823903;0.003624;1.603475;11.720203;10.200180;119.548180;0.000314;2.105525;0.635145;0.001004;
1.715109;0.004818;1.481521;11.207339;11.443582;128.252106;0.000329;2.038775;0.747967;0.001190;
1.562332;0.005193;1.343047;10.166410;11.608183;118.013550;0.000480;1.896542;0.850630;0.001084;
1.384303;0.004378;1.200127;8.650951;10.766209;93.137939;0.000420;1.686703;0.924000;0.000724;
1.214456;0.003056;1.069261;6.949398;9.440374;65.604919;0.000248;1.466181;0.971926;0.000274;
1.130132;0.002839;0.998694;6.251233;9.001740;56.271976;0.000368;1.360456;1.009333;0.000371;
1.139690;0.003808;0.999160;6.647264;9.558685;63.539097;0.000794;1.389208;1.049311;0.000933;
1.147928;0.004475;1.002901;6.484604;9.692334;62.850948;0.001677;1.384879;1.005067;0.001935;
1.094645;0.004358;0.978894;5.582766;8.020042;44.774021;0.002792;1.274509;0.891112;0.002871;
1.618296;0.004908;1.504719;2.427974;8.790112;21.342163;0.004583;1.748570;0.408518;0.004317;
1.866656;0.003583;1.740205;50.000000;5.225283;261.264130;0.002783;2.025248;0.400912;0.002798;
1.938123;0.003296;1.747465;15.284020;8.107541;123.915825;0.001218;2.176197;0.526394;0.001545;
1.883808;0.004340;1.640750;12.543628;10.960239;137.481171;0.000337;2.192551;0.652898;0.001267;
1.721124;0.005588;1.468272;10.838417;12.472592;135.183167;0.000141;2.075316;0.788634;0.001213;
1.482460;0.005089;1.274602;9.193368;11.642559;107.034332;0.000271;1.812159;0.895849;0.000876;
1.248124;0.003355;1.104548;7.548841;9.214794;69.561012;0.000440;1.507728;0.956819;0.000437;
1.080177;0.001714;0.987254;6.440588;6.580219;42.380482;0.000333;1.261779;0.916442;0.000171;
0.994403;0.001274;0.916897;5.983471;5.735574;34.318645;0.000263;1.146125;0.907644;0.000152;
0.975755;0.001684;0.888165;6.199557;6.496108;40.272995;0.000300;1.145089;1.008098;0.000264;
0.997186;0.002889;0.892160;6.309265;7.718857;48.700317;0.000849;1.201058;1.107257;0.000839;
