ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.555126;0.002309;1.447216;33.265350;5.778320;192.217834;0.000705;1.723531;0.524426;0.001271;
1.654983;0.002373;1.511909;15.454620;6.912878;106.835892;0.000653;1.842531;0.526282;0.001135;
1.737067;0.003514;1.530686;9.895308;9.871556;97.682091;0.000932;1.980171;0.603746;0.001513;
1.802077;0.006347;1.514791;10.339962;13.256374;137.070404;0.001451;2.141031;0.728389;0.002601;
1.531337;0.003008;1.477067;50.000000;5.290224;264.511200;0.000854;1.659265;0.427586;0.002428;
1.475332;0.001617;1.442937;50.000000;3.653212;182.660583;0.000529;1.576100;0.367935;0.001234;
1.448472;0.001466;1.419761;42.181667;3.100353;130.778076;0.000672;1.550747;0.382499;0.001058;
1.486247;0.001752;1.433169;41.369244;3.962347;163.919296;0.000669;1.612700;0.441781;0.001141;
1.576689;0.001894;1.474407;21.317181;5.436139;115.883156;0.000490;1.751236;0.530330;0.000773;
1.669175;0.002128;1.528564;13.663617;7.023654;95.968513;0.000264;1.872618;0.555200;0.000664;
1.737774;0.003481;1.526615;9.911839;10.272496;101.819336;0.000398;2.013097;0.661159;0.000870;
1.785103;0.005511;1.514483;10.818769;12.661683;136.983826;0.000596;2.131118;0.747606;0.001525;
1.814211;0.008492;1.458339;9.349025;16.375139;153.091583;0.001419;2.254173;0.852943;0.002219;
1.538252;0.002286;1.458865;50.000000;5.045701;252.285049;0.000812;1.704675;0.527744;0.001273;
1.558082;0.002657;1.464674;50.000000;5.669419;283.470947;0.000876;1.745694;0.570165;0.001392;
1.523307;0.002024;1.438667;39.255806;5.059937;198.631912;0.000614;1.689582;0.534081;0.001008;
1.493459;0.001357;1.429534;25.004181;3.896266;97.422943;0.000492;1.623645;0.449460;0.000712;
1.492370;0.001102;1.446084;29.498158;3.109510;91.724831;0.000483;1.597423;0.375195;0.000678;
1.522697;0.001046;1.467644;31.509342;3.419837;107.756828;0.000356;1.637250;0.393058;0.000549;
1.576766;0.001203;1.499522;20.841179;4.285969;89.324638;0.000272;1.721357;0.455911;0.000430;
1.645451;0.001910;1.522820;13.601439;6.364033;86.560013;0.000261;1.840628;0.547847;0.000539;
1.729575;0.002698;1.549128;9.061737;9.083360;82.311012;0.000324;1.981252;0.624709;0.000481;
1.833242;0.003380;1.594753;7.716624;11.521976;88.910751;0.000481;2.122401;0.645982;0.000593;
1.922341;0.004599;1.638234;7.954730;13.039635;103.726761;0.001077;2.250611;0.670509;0.001180;
2.018070;0.005780;1.711872;10.925447;12.737693;139.164993;0.001753;2.369235;0.667528;0.002087;
1.477337;0.002870;1.334931;6.307570;8.449322;53.294682;0.001239;1.696824;0.687720;0.001038;
1.547140;0.002557;1.426865;6.811835;7.064624;48.123055;0.001262;1.752785;0.618717;0.000987;
1.542903;0.001926;1.429375;6.698831;6.700121;44.882980;0.000769;1.733697;0.586323;0.000554;
1.519347;0.001209;1.415806;6.071844;6.214731;37.734875;0.000340;1.679247;0.520274;0.000226;
1.525626;0.001188;1.422635;6.727056;5.910707;39.761654;0.000402;1.666801;0.466807;0.000431;
1.546913;0.001694;1.451448;13.616028;4.997000;68.039291;0.000772;1.692509;0.469828;0.000910;
1.556128;0.001813;1.471562;37.560966;4.976216;186.911484;0.000452;1.708326;0.483129;0.000971;
1.555329;0.002149;1.462410;43.182682;5.715451;246.808502;0.000258;1.728289;0.535078;0.001067;
1.599788;0.002497;1.468567;16.646654;6.960818;115.874321;0.000289;1.815120;0.610593;0.000826;
1.735869;0.002420;1.558427;8.729087;8.923438;77.893463;0.000262;1.977562;0.603937;0.000390;
1.911654;0.002232;1.696447;6.243968;10.671884;66.634895;0.000355;2.157755;0.549511;0.000250;
2.063564;0.002213;1.828626;5.542711;11.404366;63.211102;0.000606;2.307167;0.503074;0.000393;
