ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.892879;0.012878;1.627192;5.550062;13.903709;77.166451;0.009593;2.242149;0.713675;0.008868;
1.595951;0.020484;1.197858;6.563489;21.087505;138.407608;0.009469;2.113092;1.054868;0.010422;
1.717880;0.010209;1.387350;5.529866;17.635338;97.521057;0.004529;2.110886;0.846609;0.004415;
1.755637;0.006670;1.509853;4.980443;13.696198;68.213127;0.003781;2.064319;0.711982;0.003255;
1.759290;0.007136;1.539974;4.911616;12.453831;61.168442;0.004728;2.055784;0.692407;0.004053;
1.727594;0.007221;1.551137;5.180237;10.245555;53.074402;0.005362;1.995663;0.658703;0.004737;
1.668977;0.007558;1.523378;5.034530;8.830813;44.458996;0.006162;1.907290;0.630261;0.005590;
1.418128;0.013064;1.440948;5.548922;8.657252;48.038414;0.007202;1.816132;0.659703;0.006838;
1.552668;0.012195;1.210700;6.710427;18.531269;124.352722;0.003583;2.009919;1.022386;0.004314;
1.629315;0.005769;1.362365;6.020121;14.635376;88.106735;0.001285;1.974317;0.828140;0.001298;
1.652470;0.003975;1.431842;5.291736;12.532732;66.319901;0.001179;1.937453;0.720776;0.000895;
1.663698;0.003392;1.474980;4.809989;11.071024;53.251499;0.001504;1.910554;0.647547;0.001126;
1.676086;0.003827;1.504081;5.098189;10.024810;51.108376;0.002126;1.919714;0.636567;0.001681;
1.656682;0.003869;1.518438;5.691844;8.043191;45.780586;0.002578;1.870478;0.585589;0.002243;
1.572394;0.004203;1.446532;5.709811;7.594893;43.365402;0.002977;1.774625;0.598234;0.002706;
1.476452;0.005690;1.358028;5.777396;7.457787;43.086586;0.004381;1.668711;0.621958;0.004276;
1.423461;0.017297;1.046222;7.619644;20.752388;158.125793;0.004722;1.962263;1.207554;0.006527;
1.530940;0.007379;1.250896;7.225781;15.305068;110.591072;0.001216;1.916871;0.947817;0.001804;
1.554613;0.003410;1.356319;6.798449;11.128108;75.653870;0.000348;1.833287;0.760803;0.000459;
1.573585;0.002224;1.403386;5.476999;9.937158;54.425800;0.000363;1.798703;0.645806;0.000263;
1.613787;0.002044;1.456535;4.870801;9.367005;45.624821;0.000663;1.814672;0.575221;0.000498;
1.684951;0.002234;1.525575;4.927649;9.253446;45.597729;0.000944;1.886546;0.547425;0.000745;
1.699867;0.002130;1.565700;6.018188;7.446557;44.814781;0.001058;1.883373;0.503156;0.000928;
1.611096;0.002145;1.495635;5.961761;6.723018;40.081024;0.001198;1.783113;0.511261;0.001054;
1.360977;0.005376;1.360589;5.043358;7.541270;38.033329;0.001981;1.660756;0.594924;0.001775;
1.358887;0.006103;1.211791;5.339139;9.616706;51.344921;0.003952;1.599023;0.814002;0.003712;
1.415233;0.012937;1.097190;8.863355;17.597853;155.976013;0.002640;1.890621;1.148895;0.004573;
1.490717;0.005095;1.261899;7.935778;12.659651;100.464180;0.000495;1.819064;0.888305;0.001015;
1.515356;0.002198;1.354079;6.421225;9.308966;59.774963;0.000196;1.743062;0.682430;0.000188;
1.545598;0.001351;1.418613;5.277815;7.646030;40.354332;0.000284;1.717207;0.537438;0.000197;
1.616262;0.001259;1.499608;4.578092;7.130658;32.644810;0.000545;1.762681;0.446459;0.000444;
1.629538;0.002391;1.612703;4.548422;6.653302;30.262026;0.000703;1.860920;0.387083;0.000603;
1.798296;0.001097;1.686347;5.237495;6.203916;32.492977;0.000536;1.932141;0.361858;0.000469;
1.707913;0.001324;1.588664;5.576586;6.691290;37.314556;0.000558;1.862305;0.435161;0.000457;
1.525881;0.002227;1.388559;5.477276;8.310934;45.521282;0.000822;1.728209;0.621191;0.000619;
1.367180;0.003958;1.215243;5.825292;9.675973;56.365368;0.001588;1.617653;0.831815;0.001352;
1.276507;0.007352;1.096445;7.570236;11.590643;87.743912;0.002417;1.614001;1.087900;0.002543;
1.360844;0.010972;1.109895;10.452853;14.330551;149.795135;0.003168;1.750554;1.085739;0.005274;
1.475179;0.003773;1.275268;6.994415;11.320543;79.180573;0.000614;1.753174;0.809842;0.000811;
1.521478;0.001921;1.362556;5.322835;9.458830;50.347790;0.000309;1.731035;0.639604;0.000196;
1.568475;0.001479;1.436192;4.566831;8.162870;37.278446;0.000513;1.738699;0.524743;0.000351;
1.638962;0.001314;1.525790;4.622167;6.871298;31.760286;0.000645;1.781290;0.428278;0.000550;
1.775409;0.001119;1.673094;3.894713;6.270463;24.421654;0.000757;1.884492;0.308088;0.000694;
1.909446;0.000803;1.835015;3.206745;4.781530;15.333145;0.000674;1.979873;0.189733;0.000635;
1.853138;0.000945;1.742215;4.143339;6.498938;26.927303;0.000534;1.973863;0.319510;0.000441;
1.619089;0.001822;1.471716;5.668827;8.485689;48.103909;0.000432;1.821354;0.576223;0.000277;
1.386652;0.003242;1.226426;6.956791;9.763833;67.924957;0.000423;1.651786;0.848359;0.000349;
1.242018;0.005956;1.063624;8.427471;11.349331;95.646156;0.000924;1.577741;1.122801;0.001130;
1.180193;0.012627;0.937966;10.713688;15.219954;163.061829;0.001893;1.649422;1.399351;0.003382;
1.464365;0.003308;1.289176;7.166559;9.962270;71.395195;0.000822;1.705903;0.742158;0.001058;
1.558904;0.002265;1.381635;4.928338;10.548631;51.987217;0.000512;1.782537;0.651446;0.000325;
1.599826;0.001958;1.437004;4.854536;9.682405;47.003586;0.000509;1.805177;0.591734;0.000330;
1.556449;0.003165;1.531917;4.696189;7.839114;36.813965;0.000518;1.828296;0.474569;0.000378;
1.802036;0.001086;1.697382;3.730010;6.497760;24.236706;0.000716;1.916987;0.316919;0.000616;
1.992529;0.001098;1.942779;2.128021;3.910898;8.322472;0.001062;2.036831;0.116697;0.001035;
2.003787;0.000833;1.935310;2.972630;4.498260;13.371665;0.000735;2.069494;0.167782;0.000692;
1.742356;0.001242;1.610492;5.780289;7.309659;42.251942;0.000258;1.914245;0.462459;0.000181;
1.441239;0.002337;1.296671;7.409724;8.543533;63.305222;0.000197;1.673002;0.736375;0.000202;
1.255826;0.003848;1.101883;7.900297;9.731460;76.881416;0.000533;1.535358;0.995370;0.000508;
1.157118;0.007647;0.949526;7.668886;13.363350;102.481995;0.001337;1.536860;1.306124;0.001368;
1.444794;0.004262;1.278890;8.334496;9.541063;79.519943;0.001417;1.692630;0.766993;0.001898;
1.556254;0.002257;1.388763;5.939310;9.634068;57.219715;0.000367;1.780766;0.653457;0.000333;
1.604199;0.002076;1.429211;5.470407;10.064500;55.056911;0.000254;1.829992;0.632381;0.000144;
1.666587;0.001837;1.491097;4.891391;10.144674;49.621571;0.000336;1.877047;0.572936;0.000187;
1.798793;0.001288;1.648288;3.705212;9.195910;34.072796;0.000585;1.954519;0.411579;0.000418;
1.994474;0.001263;1.901933;2.568353;6.476289;16.633394;0.001118;2.076656;0.207850;0.001043;
2.056251;0.001177;2.006362;2.570409;3.541386;9.102812;0.001128;2.107221;0.128178;0.001095;
1.836909;0.000914;1.747440;5.966974;4.925315;29.389229;0.000437;1.960166;0.327840;0.000385;
1.537965;0.001360;1.424129;7.046504;6.600388;46.509663;0.000210;1.716214;0.557311;0.000142;
1.331587;0.002532;1.187701;5.929466;9.114676;54.045158;0.000502;1.566859;0.826096;0.000221;
1.220543;0.004800;1.034903;5.901234;12.093353;71.365707;0.000905;1.535322;1.109761;0.000455;
1.155580;0.009403;0.910487;6.093137;16.002605;97.506058;0.001925;1.585039;1.387057;0.001282;
1.362859;0.006293;1.205955;10.261520;9.642193;98.943565;0.002322;1.636205;0.879269;0.003360;
1.482996;0.002279;1.344723;7.858694;8.055518;63.305851;0.000278;1.700923;0.678180;0.000430;
1.558394;0.001869;1.401287;6.246039;8.949273;55.897514;0.000175;1.769291;0.622503;0.000187;
1.660536;0.001946;1.471908;4.855467;10.858791;52.724503;0.000302;1.879727;0.593311;0.000171;
1.809061;0.001620;1.621295;3.815124;11.178310;42.646633;0.000562;1.998429;0.479321;0.000343;
1.966287;0.001584;1.821404;3.117306;9.124910;28.445135;0.001167;2.095274;0.315737;0.001035;
2.009009;0.001439;1.931690;3.505420;4.759106;16.682663;0.001277;2.093698;0.211276;0.001210;
1.859540;0.001022;1.766679;5.486237;5.132135;28.156109;0.000580;1.981185;0.319567;0.000513;
1.607924;0.001225;1.504542;7.022774;5.824398;40.903427;0.000390;1.767316;0.482058;0.000283;
1.420414;0.002081;1.290580;6.195368;7.932689;49.145927;0.000583;1.630487;0.701284;0.000330;
1.293642;0.003623;1.127990;6.113533;10.576252;64.658272;0.000664;1.578122;0.971423;0.000227;
1.206781;0.006269;1.005078;6.623021;13.086311;86.670921;0.000814;1.569149;1.213674;0.000490;
1.082443;0.011867;0.843253;7.376668;15.966793;117.781731;0.002074;1.546875;1.538716;0.002107;
1.256674;0.007363;1.093497;9.277106;10.427875;96.740501;0.002893;1.547421;1.013121;0.003895;
1.368299;0.002358;1.246935;7.622938;7.515049;57.286747;0.000527;1.573350;0.720471;0.000643;
1.479789;0.001985;1.332123;6.148929;8.735476;53.713814;0.000287;1.690467;0.664656;0.000250;
1.644116;0.001899;1.460727;4.890770;10.588139;51.784157;0.000322;1.860436;0.595041;0.000171;
1.824765;0.001758;1.627161;4.274903;11.210994;47.925915;0.000502;2.026838;0.498888;0.000323;
1.934182;0.001718;1.758449;3.647161;10.351976;37.755329;0.000970;2.101466;0.401006;0.000784;
1.801129;0.003421;1.797044;3.514662;8.388562;29.482960;0.001073;2.072337;0.338401;0.000926;
1.805470;0.001141;1.684181;5.018246;6.812973;34.189175;0.000484;1.954459;0.394469;0.000364;
1.596353;0.001512;1.475369;7.435767;6.633680;49.326496;0.000436;1.772696;0.527365;0.000367;
1.402355;0.002631;1.277616;7.671843;7.359504;56.460960;0.001110;1.610766;0.708769;0.000932;
1.274528;0.003721;1.122477;7.246315;9.601601;69.576225;0.000867;1.546952;0.962211;0.000647;
1.179601;0.006296;0.990255;7.687994;12.345490;94.912064;0.000731;1.540093;1.242831;0.000678;
1.063964;0.011427;0.834649;9.076070;15.332402;139.157959;0.000952;1.522906;1.558022;0.002062;
