ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.984203;0.008443;1.744485;5.076161;13.956921;70.847572;0.005749;2.418349;0.740358;0.003681;
1.927669;0.007481;1.669551;9.309354;13.680454;127.356186;0.002785;2.403396;0.792527;0.001873;
2.082402;0.015730;1.642120;10.819528;20.195749;218.508484;0.005329;2.798860;0.911322;0.003772;
1.923502;0.003425;1.826567;11.531934;5.350791;61.704971;0.002595;2.146545;0.475777;0.002201;
1.898442;0.002463;1.712209;4.820094;10.955264;52.805405;0.001204;2.146257;0.520858;0.000891;
1.790016;0.001483;1.783883;44.445904;2.132210;94.768013;0.001153;1.913747;0.317276;0.001087;
1.799566;0.001722;1.724579;5.644076;4.640337;26.190413;0.001407;1.946113;0.366458;0.001169;
1.804023;0.003130;1.645110;4.993096;9.869545;49.279587;0.001843;2.081270;0.603086;0.001112;
1.728983;0.005021;1.491722;4.113988;15.336681;63.094933;0.002507;2.102240;0.773483;0.001127;
1.881043;0.008356;1.523347;5.996424;19.502769;116.946861;0.002257;2.424999;0.875222;0.000700;
1.893464;0.012648;1.504920;7.129224;20.420216;145.580292;0.004470;2.531981;0.940997;0.002361;
1.676239;0.006002;1.412335;5.026319;16.393600;82.399460;0.002145;2.096054;0.852117;0.001050;
1.751448;0.008519;1.532581;10.998205;13.222524;145.424042;0.002596;2.217639;0.854799;0.002866;
1.936609;0.002495;1.822740;17.521849;6.644700;116.427422;0.000733;2.165896;0.476132;0.001225;
1.884806;0.001507;1.776638;17.061924;5.197555;88.680283;0.000803;2.050215;0.381090;0.000833;
1.809979;0.001686;1.681514;8.491748;7.028851;59.687229;0.000716;2.013945;0.473056;0.000618;
1.732289;0.001859;1.568949;5.718583;9.906928;56.653587;0.000392;1.986900;0.589729;0.000113;
1.712039;0.001768;1.533213;4.593775;11.221439;51.548771;0.000433;1.954949;0.578193;0.000151;
1.745012;0.002385;1.575669;7.127247;9.937129;70.824371;0.000457;2.028451;0.630436;0.000247;
1.682721;0.002785;1.492132;4.157111;12.467057;51.826942;0.001206;1.949685;0.632408;0.000750;
1.775414;0.006004;1.482304;5.012372;17.396088;87.195671;0.002006;2.200994;0.807592;0.001043;
1.776896;0.004575;1.541521;6.086144;13.828965;84.165077;0.001304;2.170788;0.770544;0.000457;
1.683047;0.006751;1.442251;5.394010;15.044399;81.149643;0.002981;2.101800;0.847163;0.001794;
1.714931;0.006984;1.498983;9.191645;12.992917;119.426270;0.002153;2.137934;0.826861;0.002199;
1.797560;0.004945;1.607389;12.584722;10.467397;131.729279;0.001608;2.140013;0.691597;0.001982;
1.859608;0.003573;1.681337;4.577484;10.813620;49.499165;0.002366;2.118294;0.553361;0.001840;
1.791274;0.001046;1.704656;5.903059;5.345831;31.556757;0.000593;1.948143;0.388617;0.000405;
1.797054;0.002841;1.590780;6.339964;11.868979;75.248909;0.000516;2.111414;0.655295;0.000248;
1.785864;0.001915;1.593941;5.465284;11.130408;60.830841;0.000434;2.035951;0.561335;0.000286;
1.724381;0.002352;1.533409;4.878002;11.744688;57.290611;0.000778;1.990437;0.612566;0.000451;
1.657326;0.003796;1.420912;6.299302;14.101447;88.829269;0.000367;2.023711;0.791447;0.000122;
1.669703;0.004452;1.420725;4.234031;15.952238;67.542267;0.001743;2.024423;0.774657;0.000851;
1.673127;0.003390;1.450106;4.322933;14.228650;61.509502;0.001295;1.979430;0.700904;0.000745;
1.605712;0.003384;1.377922;4.545720;14.671001;66.690269;0.000839;1.934890;0.770004;0.000255;
1.704984;0.004899;1.456635;4.437373;15.691270;69.628021;0.002040;2.069717;0.769279;0.001126;
1.781554;0.005552;1.490638;4.834402;17.354918;83.900642;0.001826;2.216538;0.819181;0.000475;
1.702587;0.006314;1.490634;5.270559;13.525564;71.287277;0.003272;2.111426;0.829017;0.001681;
1.668222;0.003844;1.446401;5.458510;13.736682;74.981812;0.000924;2.019351;0.766287;0.000398;
1.663132;0.003707;1.478177;9.816832;10.682965;104.872879;0.000804;1.973253;0.705681;0.001142;
1.692223;0.003057;1.665109;43.145859;4.644598;200.395203;0.001533;1.874227;0.468007;0.002203;
1.827908;0.003190;1.700465;19.771265;7.124158;140.853607;0.001264;2.089083;0.564357;0.001495;
1.813882;0.002800;1.779392;50.000000;5.434867;271.743378;0.000715;1.907920;0.240663;0.002585;
1.710212;0.003295;1.488828;5.902398;12.976884;76.594727;0.000840;2.031691;0.704548;0.000535;
1.689595;0.001876;1.579834;12.775211;6.881653;87.914574;0.000226;1.911967;0.545566;0.000549;
1.706450;0.002094;1.518476;6.271816;10.952348;68.691109;0.000294;1.954245;0.584939;0.000435;
1.703669;0.002691;1.492394;6.384199;12.307524;78.573669;0.000252;1.997320;0.661618;0.000354;
1.630784;0.003627;1.473184;6.673163;10.111303;67.474373;0.001427;1.953209;0.746636;0.000726;
1.548507;0.004238;1.379680;3.736295;12.150126;45.396461;0.002652;1.848069;0.761590;0.001543;
1.583749;0.004889;1.365649;8.123285;13.100903;106.422371;0.000922;1.964150;0.851198;0.000889;
1.563023;0.002126;1.414319;4.887647;10.013064;48.940327;0.000695;1.816476;0.666076;0.000263;
1.628343;0.002120;1.456501;3.987976;11.509383;45.899143;0.000899;1.858181;0.589771;0.000595;
1.670756;0.007509;1.318659;4.673101;21.234726;99.232010;0.002150;2.157214;0.928271;0.000911;
1.640790;0.005559;1.448263;4.619704;12.907496;59.628807;0.003154;2.000651;0.798636;0.001840;
1.682227;0.005167;1.514997;7.673318;10.438945;80.101341;0.002476;2.033120;0.759979;0.001795;
1.641759;0.006382;1.390617;7.614943;14.792874;112.646896;0.001614;2.082840;0.892523;0.001141;
1.662129;0.002127;1.515429;9.024038;8.702797;78.534370;0.000278;1.906692;0.597948;0.000501;
1.748242;0.003997;1.502296;6.773928;13.665158;92.566795;0.001032;2.090482;0.714651;0.000948;
1.663031;0.007413;1.521995;23.758266;8.657540;205.688156;0.004186;1.998948;0.750207;0.004494;
1.836204;0.003501;1.836204;0.000000;0.000000;0.000000;0.003501;1.750133;-0.269535;0.003326;
1.675154;0.000808;1.658152;50.000000;1.962710;98.135521;0.000550;1.713324;0.117207;0.000769;
1.644215;0.002430;1.544438;13.254383;5.864347;77.728310;0.001377;1.850572;0.537946;0.001281;
1.612304;0.003870;1.429276;12.405196;10.558187;130.976379;0.000612;1.935013;0.751567;0.001072;
1.587065;0.001566;1.497110;6.366286;6.002162;38.211483;0.000843;1.765416;0.501006;0.000657;
1.650824;0.002806;1.524878;11.008935;7.939606;87.406609;0.000771;1.920074;0.647605;0.000832;
1.660241;0.002578;1.498455;6.967731;9.962687;69.417328;0.000539;1.954903;0.686853;0.000197;
1.610137;0.003147;1.434717;3.372270;12.586548;42.445244;0.001862;1.878483;0.673989;0.001031;
1.635570;0.001417;1.526647;8.111082;6.783880;55.024609;0.000336;1.833867;0.522119;0.000325;
1.615855;0.000561;1.575947;3.092011;3.165718;9.788434;0.000484;1.688520;0.227120;0.000409;
1.610493;0.002339;1.484074;4.567082;8.525060;38.934647;0.001454;1.827933;0.575798;0.001021;
1.664173;0.004810;1.446138;8.242026;12.679315;104.503242;0.001177;2.050133;0.814754;0.000823;
1.695939;0.005753;1.445466;4.476539;15.912534;71.233078;0.002653;2.089710;0.813502;0.001361;
1.604761;0.005194;1.430594;5.412025;11.600741;62.783504;0.002795;1.946723;0.790168;0.001835;
1.565408;0.004158;1.353074;5.589360;13.586069;75.937439;0.001079;1.925069;0.837125;0.000446;
1.671805;0.004835;1.402608;6.096289;15.776135;96.175880;0.000817;2.063562;0.816062;0.000630;
1.642590;0.002035;1.480681;5.781230;10.105679;58.423260;0.000426;1.899192;0.630969;0.000204;
1.463591;0.002326;1.381070;4.707038;6.200858;29.187677;0.001685;1.658216;0.599242;0.001185;
1.423893;0.004119;1.396900;37.005539;2.837866;105.016777;0.003615;1.585270;0.539566;0.003346;
1.764612;0.002409;1.664397;27.797861;6.103652;169.668442;0.000748;1.895717;0.334955;0.001975;
1.600184;0.001107;1.488981;6.904147;6.809355;47.012787;0.000291;1.770543;0.477173;0.000295;
1.583423;0.002107;1.495694;15.402863;6.032527;92.918190;0.000619;1.808684;0.599756;0.000701;
1.576301;0.001883;1.479440;24.216492;6.145608;148.825089;0.000299;1.778052;0.553723;0.000763;
1.577259;0.001850;1.441223;5.777400;8.932855;51.608677;0.000451;1.810965;0.618995;0.000271;
1.591049;0.002074;1.464698;6.112883;8.394179;51.312637;0.000676;1.834344;0.631424;0.000374;
1.682204;0.002073;1.548272;9.200880;7.936512;73.022896;0.000516;1.914680;0.568491;0.000622;
1.786951;0.002212;1.646806;3.986752;9.292117;37.045361;0.001391;2.013135;0.524547;0.000852;
1.724982;0.001486;1.653089;3.653479;5.273065;19.265032;0.001206;1.864756;0.370939;0.000944;
1.689358;0.001665;1.601038;2.621341;6.822430;17.883915;0.001493;1.781564;0.264709;0.001424;
1.697747;0.001114;1.597057;2.662243;7.799526;20.764229;0.000846;1.828070;0.357478;0.000642;
1.726001;0.001862;1.609761;5.395327;7.466946;40.286617;0.000994;1.943956;0.529445;0.000575;
1.636079;0.004422;1.445276;3.411699;13.522392;46.134331;0.002890;1.931988;0.708299;0.001855;
1.693290;0.007706;1.441386;3.656781;16.869247;61.687145;0.005140;2.079068;0.810172;0.003485;
1.663113;0.006630;1.375470;4.638924;17.958488;83.308060;0.002569;2.098356;0.879208;0.001263;
1.585390;0.004628;1.393700;8.016233;12.051021;96.603790;0.000949;1.948804;0.825351;0.000916;
1.535072;0.002915;1.445781;5.426106;6.431615;34.898624;0.002115;1.735620;0.573732;0.001724;
1.459405;0.001407;1.459405;0.000000;0.000000;0.000000;0.001407;1.435385;-0.099363;0.001389;
1.476976;0.002142;1.401917;18.835112;5.792738;109.106873;0.000555;1.689620;0.627203;0.000841;
1.389956;0.006314;1.322862;1.350091;7.794591;10.523410;0.006225;1.479998;0.344642;0.006047;
1.651991;0.001768;1.651991;0.000000;0.000000;0.000000;0.001768;1.463012;-0.804058;0.000800;
1.678949;0.000484;1.645957;18.992577;2.314120;43.951103;0.000247;1.728835;0.150732;0.000417;
1.555957;0.002316;1.426140;8.770819;8.084769;70.910049;0.000700;1.797097;0.644325;0.000672;
1.500706;0.001285;1.430481;5.696324;5.149818;29.335035;0.000735;1.661468;0.496740;0.000513;
1.644804;0.001755;1.480446;6.407313;9.845834;63.085342;0.000208;1.864572;0.558860;0.000418;
1.760325;0.004716;1.535771;9.668906;12.562839;121.468910;0.000654;2.085855;0.676355;0.001949;
1.742341;0.000650;1.681420;9.373410;3.887368;36.437897;0.000216;1.866004;0.327021;0.000240;
1.823128;0.002166;1.674325;5.560149;8.976252;49.909298;0.000990;2.077996;0.558787;0.000487;
1.889737;0.002622;1.717760;4.080601;10.865242;44.336723;0.001529;2.147654;0.542915;0.000895;
